infrastructure,ignoring,67,user67,regular,no attack,true negative
infrastructure,ignoring,83,user83,regular,no attack,true negative
infrastructure,trace,13,user13,malicious,attack 2,true positive
business,trace,10,user10,malicious,attack 2,true positive
infrastructure,ignoring,26,user26,regular,no attack,true negative
business,ignoring,80,user80,regular,no attack,true negative
infrastructure,trace,34,user34,malicious,attack 2,true positive
business,log,43,user43,malicious,attack 1,true positive
infrastructure,log,7,user7,malicious,attack 1,true positive
business,ignoring,56,user56,regular,no attack,true negative
business,trace,85,user85,malicious,attack 2,true positive
infrastructure,log,87,user87,malicious,attack 1,true positive
business,ignoring,67,user67,regular,no attack,true negative
infrastructure,ignoring,79,user79,regular,no attack,true negative
infrastructure,log,7,user7,malicious,attack 1,true positive
business,ignoring,23,user23,regular,no attack,true negative
infrastructure,ignoring,3,user3,regular,no attack,true negative
infrastructure,ignoring,89,user89,regular,no attack,true negative
infrastructure,ignoring,48,user48,regular,no attack,true negative
infrastructure,ignoring,68,user68,regular,no attack,true negative
infrastructure,ignoring,36,user36,regular,no attack,true negative
business,trace,16,user16,malicious,attack 2,true positive
business,ignoring,93,user93,regular,no attack,true negative
business,ignoring,52,user52,regular,no attack,true negative
infrastructure,ignoring,94,user94,regular,no attack,true negative
business,ignoring,77,user77,regular,no attack,true negative
business,ignoring,84,user84,regular,no attack,true negative
infrastructure,ignoring,65,user65,regular,no attack,true negative
business,ignoring,93,user93,regular,no attack,true negative
infrastructure,log,10,user10,malicious,attack 1,true positive
infrastructure,log,98,user98,malicious,attack 1,true positive
infrastructure,ignoring,26,user26,regular,no attack,true negative
business,ignoring,56,user56,regular,no attack,true negative
infrastructure,ignoring,29,user29,regular,no attack,true negative
infrastructure,ignoring,93,user93,regular,no attack,true negative
infrastructure,ignoring,30,user30,regular,no attack,true negative
business,log,75,user75,malicious,attack 1,true positive
infrastructure,ignoring,26,user26,regular,no attack,true negative
infrastructure,ignoring,21,user21,regular,no attack,true negative
business,ignoring,20,user20,regular,no attack,true negative
infrastructure,ignoring,22,user22,regular,no attack,true negative
business,ignoring,91,user91,regular,no attack,true negative
business,ignoring,99,user99,regular,no attack,true negative
infrastructure,ignoring,82,user82,regular,no attack,true negative
business,ignoring,99,user99,regular,no attack,true negative
business,ignoring,82,user82,regular,no attack,true negative
business,log,43,user43,malicious,attack 1,true positive
infrastructure,log,16,user16,malicious,attack 1,true positive
infrastructure,ignoring,11,user11,regular,no attack,true negative
infrastructure,ignoring,74,user74,regular,no attack,true negative
business,ignoring,59,user59,regular,no attack,true negative
infrastructure,ignoring,67,user67,regular,no attack,true negative
infrastructure,ignoring,6,user6,regular,no attack,true negative
business,ignoring,27,user27,regular,no attack,true negative
infrastructure,ignoring,11,user11,regular,no attack,true negative
infrastructure,trace,75,user75,malicious,attack 2,true positive
business,ignoring,68,user68,regular,no attack,true negative
business,ignoring,90,user90,regular,no attack,true negative
infrastructure,trace,85,user85,malicious,attack 2,true positive
business,ignoring,45,user45,regular,no attack,true negative
infrastructure,ignoring,94,user94,regular,no attack,true negative
business,ignoring,1,user1,regular,no attack,true negative
infrastructure,trace,63,user63,malicious,attack 2,true positive
infrastructure,log,75,user75,malicious,attack 1,true positive
infrastructure,ignoring,67,user67,regular,no attack,true negative
business,ignoring,82,user82,regular,no attack,true negative
infrastructure,ignoring,92,user92,regular,no attack,true negative
infrastructure,ignoring,15,user15,regular,no attack,true negative
infrastructure,ignoring,20,user20,regular,no attack,true negative
infrastructure,ignoring,2,user2,regular,no attack,true negative
business,ignoring,65,user65,regular,no attack,true negative
infrastructure,ignoring,36,user36,regular,no attack,true negative
infrastructure,ignoring,49,user49,regular,no attack,true negative
infrastructure,ignoring,83,user83,regular,no attack,true negative
infrastructure,ignoring,38,user38,regular,no attack,true negative
business,log,34,user34,malicious,attack 1,true positive
business,ignoring,45,user45,regular,no attack,true negative
infrastructure,ignoring,67,user67,regular,no attack,true negative
business,ignoring,37,user37,regular,no attack,true negative
business,log,75,user75,malicious,attack 1,true positive
infrastructure,ignoring,59,user59,regular,no attack,true negative
business,ignoring,65,user65,regular,no attack,true negative
infrastructure,ignoring,6,user6,regular,no attack,true negative
business,ignoring,92,user92,regular,no attack,true negative
business,trace,87,user87,malicious,attack 2,true positive
infrastructure,ignoring,30,user30,regular,no attack,true negative
business,ignoring,90,user90,regular,no attack,true negative
business,ignoring,76,user76,regular,no attack,true negative
business,ignoring,81,user81,regular,no attack,true negative
infrastructure,ignoring,29,user29,regular,no attack,true negative
infrastructure,ignoring,68,user68,regular,no attack,true negative
business,ignoring,1,user1,regular,no attack,true negative
business,ignoring,79,user79,regular,no attack,true negative
business,log,43,user43,malicious,attack 1,true positive
infrastructure,log,98,user98,malicious,attack 1,true positive
business,ignoring,69,user69,regular,no attack,true negative
business,ignoring,19,user19,regular,no attack,true negative
infrastructure,ignoring,91,user91,regular,no attack,true negative
business,ignoring,35,user35,regular,no attack,true negative
business,log,87,user87,malicious,attack 1,true positive
